SunPartnerID,SunUID,SunName,SunPeriode,SunFrankenRegel,SunInfoJaNein,SunInfoTageimVoraus,SunNetzkostenNE5,SunNetzkostenNE6,SunNetzkostenNE7,SunProdukteAnzahl,SunProdukteAuswahl,SunRechtzeitig,SunSAIDItotal,SunSAIDIungeplant,SunSAIFItotal,SunSAIFIungeplant,SunTarifEC2,SunTarifEC3,SunTarifEC4,SunTarifEC6,SunTarifEH2,SunTarifEH4,SunTarifEH7,SunTarifNC2,SunTarifNC3,SunTarifNC4,SunTarifNC6,SunTarifNH2,SunTarifNH4,SunTarifNH7
11,CHE-106.844.310,Aare Versorgungs AG (AVAG),2024,74.4172388868811,Ja,2,22070.73869,3.482473954,8726.94016,3,Ja,0,22.6477406564,10.8663473594,0.3959103083,0.1709180815,17.334041666666668,17.40266666666667,16.99295,17.167816666666667,16.509742857142857,16.515261904761907,15.262975274725276,12.552541666666666,9.798,8.92635,7.121883333333334,15.086085714285714,13.38602380952381,10.658623626373625
5,CHE-105.981.944,AEW Energie AG,2024,73.56485471049,Ja,5,24207.98972,10.41998495,11315.32446,3,Nein,0,,,,,19.46055,18.058,17.8149,17.865166666666667,18.924857142857142,18.943738095238096,18.695785714285716,11.4719,11.642,10.6176,5.572444444444444,15.020285714285714,12.916968253968253,10.450560439560439
6,CHE-108.732.136,AG Elektrizitätswerk Maienfeld,2024,50.194836824159765,Ja,10,35801.21941,7.098664122,12079.14641,4,Ja,1,,,,,19,18.4,18.4,18.4,19,19,19,8.14,8.58,8.252,7.788,12.98,9.633333333333333,8.061538461538461
2,CHE-108.955.110,AGE SA,2024,75,Ja,2,24929.04069,5.431914227,16601.79136,3,Ja,1,,,,,13.948333333333332,11.74,10.568,10.84,13.54,13.455555555555556,12.284615384615385,12.598030000000001,12.733466666666665,12.02776,8.634333333333332,16.03488,14.108133333333333,11.517415384615383
846,CHE-313.230.373,Albula Netz AG,2024,,,,19606.26543,NaN,NaN,,,1,,,,,,,,,,,,,,,,,,
7,CHE-100.303.375,Alpen Energie Dorfgemeinde Meiringen,2024,74.85293137254901,Ja,10,30235.15218,11.63548865,16398.84344,1,Nein,0,,,,,12.68,11.786,11.7608,,14.66,13.7,12.425,11.836666666666666,14.33,13.65,,16.09,14.027777777777777,12.878846153846155
736,CHE-102.722.524,Arbon Energie AG,2024,67.34304581673307,Ja,7,26137.41012,17.70279882,15235.06162,3,Nein,0,,,,,12.0615,11.106138888888887,10.904633333333333,10.906883333333333,13.125428571428571,12.49079365079365,11.83186813186813,12.2075,11.3475,10.338583333333332,7.085388888888889,16.427142857142858,13.787301587301588,10.928571428571429
109,CHE-269.783.672,Arni Energie AG,2024,74.99996233521657,Ja,14,5175.740646,12.12765186,6214.873496,3,Nein,1,,,,,18.786630555555558,15.45811111111111,15.254566666666667,,18.3488,18.326555555555558,16.792115384615386,14.410591666666665,14.257583333333333,13.433225,,18.9912,16.395666666666667,13.653711538461538
10,CHE-458.596.026,Arosa Energie,2024,43.94706213628684,Ja,3,8870.56903,11.86361728,12991.35407,3,Ja,1,,,,,9.1367,8.137333333333332,7.4976,8.132133333333334,8.7652,8.680888888888889,7.790461538461539,12.222033333333334,9.977333333333334,9.453899999999999,9.4963,17.2928,14.679777777777778,12.23676923076923
639,CHE-295.075.747,Axpo Grid AG,2024,,,,25595.52307,NaN,NaN,,,0,0.8318154731,0.8318154731,0.0240227728,0.0240227728,,,,,,,,,,,,,,
613,CHE-101.421.681,Axpo Hydro Surselva AG,2024,0,,,NaN,NaN,NaN,,,0,,,,,,,,,,,,,,,,,,
17,CHE-116.338.557,"Azienda Elettrica Comunale Bedretto, Commercio Energia Elettrica",2024,37.94377272727272,Nein,,2417.97033,0,4331.677955,1,,1,,,,,14.1,14.1,14.1,,9.1,9.1,9.1,12.943333333333333,12.548666666666668,12.4796,,16.37,14.627777777777776,13.203846153846154
28,CHE-109.070.415,AZIENDA ELETTRICA DI MASSAGNO (AEM) SA,2024,73.14746104102619,Ja,2,16420.68262,13.79396038,18292.67873,2,Ja,1,,,,,14.5,14.370666666666665,13.7728,,14.5,14.5,14.5,12.0372,14.007,12.9834,,14.037999999999998,13.626222222222223,13.289615384615384
25,CHE-439.680.689,Azienda Elettrica Grevasalvas,2024,0,Ja,7,,,11640.8375,1,,1,,,,,,,,,12.190000000000001,12.190000000000001,12.190000000000001,,,,,22.55,17.216666666666665,12.857692307692307
30,CHE-108.954.547,Azienda elettrica ticinese,2024,,,,31199.72322,6.271760591,20088.75776,,,0,0.2166906436,0.2166906436,0.0312847588,0.0312847588,,,,,,,,,,,,,,
16,CHE-496.470.952,Azienda energia comunale,2024,22.659187386294725,Ja,5,12942.96939,11.16315229,5593.23762,3,Nein,1,,,,,6.04,6.005333333333334,6.024800000000001,5.700266666666667,6.032,6.030222222222223,5.182,12.916666666666668,12.75,12.33,10.47,15.85,14.427777777777779,13.265384615384615
33,CHE-483.066.777,Azienda Multiservizi Bellinzona (AMB),2024,74.98502780550406,Ja,5,29015.25752,9.096624096,7333.201597,3,Nein,1,,,,,12.326,10.766666666666667,10.478,9.717333333333334,11.985142857142858,11.956190476190477,11.554725274725275,8.91,10.99,10.21,8.354,12.87,10.95,9.38076923076923
31,CHE-105.969.920,Aziende Industriali di Lugano (AIL) SA,2024,74.97726219231936,Ja,3,20914.76823,6.00633964,10019.36923,3,Nein,1,39.7939910365,22.0900815505,0.8812195147,0.6612261863,15,14.450333333333333,14.2694,14.200333333333333,15,15,14.136000000000001,10.616666666666667,13.686,12.2872,9.231333333333334,13.34,12.411111111111111,10.299692307692307
32,CHE-114.866.176,"Aziende Industriali Mendrisio, Sezione Elettricità",2024,75,Ja,7,33853.31493,3.124944056,21180.91887,3,Ja,1,,,,,13.77,13.77,13.77,13.77,13.77,13.77,13.77,10.67,10.925733333333334,9.64088,6.908340000000001,14.629999999999999,12.709999999999999,9.916076923076924
732,CHE-130.340.240,"Bereich Verwaltung, SH POWER",2024,75,Ja,1,23841.20259,12.80651281,21186.87476,3,Nein,1,4.2205386209,0.0842852915,0.2933412252,0.0006510802,16.957250000000002,15.292,15.0897,14.878166666666667,16.505714285714287,16.51547619047619,14.5510989010989,11.446333333333333,11.842,11.1362,6.854111111111111,15.464285714285714,13.237301587301586,11.167582417582418
36,CHE-103.258.498,BKW Energie AG,2024,75,Ja,7,13568.96537,15.40847744,9207.18108,3,Nein,0,25.0733966871,10.2890395283,0.3387837228,0.1946637044,11.15,11.962222222222222,11.536933333333332,11.8598,12.58,11.886666666666665,11.103538461538461,12.43,12.17553888888889,11.065238333333333,8.23676,16.61,14.583333333333334,11.53423076923077
381,CHE-115.895.915,"Burgergemeinde Eischoll, Elektrizitätswerk",2024,24.712380952380954,Ja,14,,,4822.430357,2,Ja,0,,,,,11.896833333333333,11.819366666666665,11.7,,12.861999999999998,12.345555555555556,11.92346153846154,11.516666666666667,10.983333333333334,9.27,,12.85,10.983333333333334,9.457692307692307
37,CHE-105.941.235,CKW AG,2024,74.06733381609108,Ja,7,13154.90809,8.575506365,10312.52175,4,Nein,0,,,,,15.897555555555554,14.526666666666667,14.083,14.562,15.7392,15.681333333333333,15.04953846153846,10.106444444444445,9.705777777777778,8.949066666666667,6.366,10.0612,10.044666666666668,8.921
690,CHE-113.382.680,"Commune de Belmont, Electricité",2024,0,Ja,3,,,13395.1076,2,Nein,1,,,,,20.569999999999997,19.3838,18.265159999999998,,20.569999999999997,20.569999999999997,18.035261538461537,11.36,6.79234,7.055394,,15.319999999999999,13.399999999999999,10.615323076923076
47,CHE-116.332.106,"Commune de Bourg-St-Pierre, Service électrique",2024,48.91309764309764,Ja,5,5521.325936,9.68660165,11668.33808,1,Nein,0,,,,,,,,,,,,,,,,,,
41,CHE-112.588.233,"Commune de Cornaux, Electricité",2024,67.84373945641985,Ja,5,,,11349.87215,3,Nein,0,,,,,,,,,,,,,,,,,,
3,CHE-112.591.057,"Commune de Courchapoix, electricite",2024,68.44106463878327,Ja,3,9090,4.295145631,8049.795238,3,Ja,0,,,,,15.09258111111111,13.737744444444445,13.525476666666666,,14.92,15.228044444444443,14.135553846153847,14.929644444444444,14.035883333333333,13.012735000000001,,19.31,16.470444444444443,12.986842307692307
684,CHE-114.921.349,"Commune de Develier, service éléctrique",2024,74.74240422721269,Ja,25,7873.013699,10.52180685,8988.102041,4,Nein,1,,,,,15.09258111111111,13.737744444444445,13.525476666666666,13.696539999999999,15.67008,15.228044444444443,14.1764,12.13696611111111,8.530805555555554,8.128058333333334,7.33,16.428720000000002,13.818511111111112,8.461826923076924
693,CHE-114.918.270,"Commune de Fully, Services industriels",2024,73.33444673397898,Ja,5,16742.50943,7.654045455,2980.825143,3,Ja,0,,,,,12.491783333333334,12.143466666666665,11.82357,,13.64,13,12.102153846153845,13.117266666666666,11.994666666666667,10.973600000000001,,15.6,13.893333333333333,11.679692307692308
677,CHE-108.964.907,"Commune de Liddes, Services Economiques, Distribution d'énergie",2024,74.50529300567108,Ja,5,17010.62625,10.36945684,6088.268,1,,0,,,,,,,,,,,,,,,,,,
700,CHE-105.626.437,"Commune de Lutry, Electricité",2024,45.14092126804584,Ja,2,21611.88622,8.530970042,15748.33173,1,,1,,,,,19.190366666666666,18.898,18.8036,,19.0352,19.00311111111111,18.020307692307693,14.157616666666666,13.023466666666666,12.533760000000001,,13.9412,13.896444444444445,12.525692307692307
